14,Manisha Yadav,9867845182,maniyadav88@gmail.com,Pune,18,2016-01-07,2016-12-30,13500,0,NestAway,Working
3,Bhaskar maheshwari,9801834992,bhaskar.mah@gmail.com,bangalore,4,2015-10-28,2016-11-28,12000,1,Technicolor,Working
2,Ashish Singh,9876890463,ashish.singh@gmail.com,bangalore,2,2015-06-05,NULL,11000,2,hindustan unilever,Working
12,Umang parejiya,7896543674,uparejiya@gmail.com,Pune,15,2015-02-24,NULL,11000,1,Centurylink India,Working
5,Tanvi mann,9178352769,tanvi.mann1907@gmail.com,bangalore,3,2015-05-15,2015-12-27,9000,3,GE Healthcare,Working
4,Garima yadav,81059237004,garima0191@gmail.com,bangalore,1,2015-04-26,NULL,8000,0,,Student
11,Deepa sudhakar,7896785432,sudhakar.deepa@gmail.com,Pune,19,2015-08-29,2016-06-14,8000,0,,Student
18,Prabhjot gill,9800786688,prabhjotgill09@gmail.com,Pune,16,2015-10-16,2016-09-04,8000,0,Cognizant,Working
1,anusha pariti,8105987404,anusha.pariti@gmail.com,bangalore,5,2015-02-12,2016-04-30,7500,0,Sabre,Working
19,Ankita sharma,9988789656,ankita.anku96@gmail.com,Pune,20,2015-09-26,NULL,7500,0,,Student
8,Tushar kapoor,8926537154,tushar.kapoor21@gmail.com,bangalore,7,2015-11-10,2016-12-31,7200,0,,Student
7,Kamal gera,8105987404,kamal0094@gmail.com,bangalore,6,2015-11-20,NULL,6500,0,,Student
16,Rajan pandey,8987647811,raajanpandey@gmail.com,Pune,17,2015-04-23,NULL,6500,0,,Student
